"County","Facility","Provider Type","Update","Positive Residents","Positive Residents Transferred","Positive Staff"
"PINELLAS","MARION AND BERNARD L SAMSON NURSING CENTER","NH","6/8/2020 13:48","7","0","7"
"PINELLAS","NORTH REHABILITATION CENTER","NH","6/8/2020 13:20","0","0","6"
"PINELLAS","OAKS OF CLEARWATER, THE","ALF","6/8/2020 13:20","0","0","1"
"PINELLAS","PALM GARDEN OF CLEARWATER","NH","6/8/2020 13:44","0","1","0"
"PINELLAS","PALM GARDEN OF LARGO","NH","6/8/2020 13:18","0","2","0"
"PINELLAS","PATRICK MANOR INC","ALF","6/8/2020 13:58","1","9","0"
"PINELLAS","PINELLAS POINT NURSING AND REHAB CENTER","NH","6/8/2020 13:52","0","0","1"
"PINELLAS","REGAL PALMS","ALF","6/8/2020 19:45","0","1","0"
"PINELLAS","SABAL PALMS HEALTH CARE CENTER","NH","6/8/2020 14:21","2","0","0"
"PINELLAS","SEASONS BELLEAIR","ALF","6/8/2020 13:24","2","2","2"
"PINELLAS","SEASONS LARGO","ALF","6/8/2020 13:27","4","2","2"
"PINELLAS","SEMINOLE PAVILION HEALTH CENTER","NH","6/8/2020 13:19","0","50","5"
"PINELLAS","SHORE ACRES CARE CENTER","NH","6/8/2020 13:21","0","0","1"
"PINELLAS","SOUTH HERITAGE HEALTH & REHABILITATION CENTER","NH","6/8/2020 13:57","0","0","2"
"PINELLAS","ST MARK VILLAGE INC","ALF","6/8/2020 14:20","0","0","2"
"PINELLAS","ST PETERSBURG NURSING & REHABILITATION","NH","6/8/2020 12:34","44","1","27"
"PINELLAS","ST. MARK VILLAGE","NH","6/8/2020 14:18","0","13","13"
"PINELLAS","SUNSET HARBOR ASSISTED LIVING","ALF","6/8/2020 13:16","0","0","1"
"PINELLAS","SUNSET POINT","NH","6/6/2020 13:07","1","0","0"
"PINELLAS","TARPON BAYOU CENTER","NH","6/8/2020 12:14","0","0","1"
"PINELLAS","THE VILLAS AT LAKESIDE OAKS","ALF","6/8/2020 11:59","0","0","1"
"PINELLAS","TOBY WEINMAN ASSISTED LIVING RESIDENCE AT MENORAH MANOR","ALF","6/8/2020 13:52","1","1","1"
"PINELLAS","WALTON PLACE","ALF","6/8/2020 13:21","0","0","1"
"PINELLAS","WEST BAY OF TAMPA","NH","6/8/2020 14:24","0","1","0"
"PINELLAS","WRIGHTS HEALTHCARE AND REHABILITATION CENTER","NH","6/8/2020 13:51","0","0","1"
"POLK","ASTORIA HEALTH AND REHABILITATION CENTER","NH","6/8/2020 16:11","0","0","1"
"POLK","BRANDYWYNE HEALTH CARE CENTER","NH","6/8/2020 20:58","21","9","17"
"POLK","CONSULATE HEALTH CARE OF LAKELAND","NH","6/8/2020 16:08","8","12","3"
"POLK","FLORIDA PRESBYTERIAN HOMES INC","NH","6/8/2020 13:48","0","0","1"
"POLK","GRACE MANOR AT LAKE MORTON, LLC","ALF","6/8/2020 14:18","0","37","1"
"POLK","HIGHLANDS LAKE CENTER","NH","6/4/2020 12:46","0","67","26"
"POLK","LAKELAND HILLS CENTER","NH","6/8/2020 13:43","29","21","8"
"POLK","OAKBRIDGE HEALTHCARE CENTER","NH","6/8/2020 12:54","47","0","0"
"POLK","PALM GARDEN OF WINTER HAVEN","NH","6/8/2020 14:07","2","6","1"
"POLK","THE MANOR AT LAKE MORTON, LLC","ALF","6/8/2020 14:22","0","2","0"
"PUTNAM","CRESTWOOD NURSING CENTER","NH","6/8/2020 13:15","0","0","2"
"PUTNAM","SOLARIS HEALTHCARE PALATKA","NH","6/8/2020 14:01","0","2","3"
"PUTNAM","VINTAGE CARE SENIOR HOUSING","ALF","6/8/2020 14:01","0","0","1"
"SANTA ROSA","THE BEACON AT GULF BREEZE","ALF","6/8/2020 12:06","0","0","1"
"SANTA ROSA","THE WATERMARK OF GULF BREEZE","ALF","6/8/2020 14:31","0","0","2"
"SARASOTA","ANGELS SENIOR LIVING AT SARASOTA","ALF","6/8/2020 11:08","0","9","2"
"SARASOTA","ARDEN COURTS OF SARASOTA","ALF","6/8/2020 14:49","0","0","1"
"SARASOTA","BROOKDALE DEER CREEK SARASOTA","ALF","6/8/2020 13:54","0","8","0"
"SARASOTA","CONSULATE HEALTH CARE OF SARASOTA","NH","6/8/2020 12:36","0","1","0"
"SARASOTA","CROSSBREEZE CARE CENTER","NH","6/8/2020 13:58","0","1","0"
"SARASOTA","DESOTO PALMS LLC","ALF","6/8/2020 11:24","0","0","1"
"SARASOTA","ELMCROFT OF BELLA VITA","ALF","6/8/2020 14:04","4","2","3"
"SARASOTA","GLENRIDGE ON PALMER RANCH INC.","NH","6/8/2020 13:46","0","0","1"
"SARASOTA","HARBORCHASE OF SARASOTA","ALF","6/8/2020 14:13","2","0","1"
"SARASOTA","HARBORCHASE OF VENICE","ALF","6/8/2020 14:09","0","1","0"
"SARASOTA","HEARTLAND HEALTH CARE & REHABILITATION CENTER","NH","6/8/2020 13:44","0","0","3"
"SARASOTA","MAGNOLIA HEALTH AND REHABILITATION CENTER","NH","6/8/2020 11:45","0","1","0"
"SARASOTA","MANGO PLACE","ALF","6/8/2020 17:46","0","1","1"
"SARASOTA","MANORCARE HEALTH SERVICES SARASOTA","NH","6/8/2020 13:01","0","0","1"
"SARASOTA","NORTH PORT REHABILITATION AND NURSING CENTER","NH","6/8/2020 13:23","0","0","1"
"SARASOTA","PINES OF SARASOTA","NH","6/8/2020 15:35","2","1","0"
"SARASOTA","POET'S WALK SARASOTA","ALF","6/8/2020 14:29","0","0","1"
"SARASOTA","SARASOTA MEMORIAL NURSING AND REHABILITATION CENTER","NH","6/8/2020 13:36","0","0","1"
"SARASOTA","SARASOTA POINT REHABILITATION CENTER","NH","6/8/2020 15:46","0","13","0"
"SARASOTA","SPRINGS AT LAKE POINTE WOODS","NH","6/8/2020 12:54","0","6","2"
"SARASOTA","SUNNYSIDE NURSING HOME","NH","6/8/2020 16:39","0","1","1"
"SARASOTA","TARPON POINT NURSING AND REHABILITATION CENTER","NH","6/8/2020 15:35","11","4","15"
"SARASOTA","THE FOUNTAINS AT LAKE POINTE WOODS","ALF","6/8/2020 12:19","0","0","1"
"SARASOTA","THE FOUNTAINS OF HOPE","ALF","6/5/2020 13:26","0","7","3"
"SARASOTA","THE SPRINGS AT SOUTH BISCAYNE","ALF","6/8/2020 12:54","0","1","0"
"SEMINOLE","ADVENTHEALTH CARE CENTER APOPKA SOUTH","NH","6/8/2020 14:05","0","0","1"
"SEMINOLE","BROOKDALE LAKE ORIENTA","ALF","6/8/2020 10:18","1","1","0"
"SEMINOLE","CONSULATE HEALTH CARE AT WEST ALTAMONTE","NH","6/8/2020 13:42","1","1","0"
"SEMINOLE","EASTBROOKE GARDENS","ALF","6/8/2020 21:12","1","1","1"
"SEMINOLE","GRACIOUS AGE","ALF","6/8/2020 13:16","0","0","2"
"SEMINOLE","HSRE-ASL CASSELBERRY TRS LLC","ALF","6/8/2020 18:49","3","0","3"
"SEMINOLE","MADISON AT OVIEDO","ALF","6/8/2020 15:05","0","0","1"
"SEMINOLE","STRIVE AT FERN PARK","ALF","6/8/2020 13:04","0","0","1"
"ST. JOHNS","PONCE THERAPY CARE CENTER, THE","NH","6/8/2020 13:37","2","0","2"
"ST. JOHNS","SILVER CREEK ST AUGUSTINE LLC","ALF","6/8/2020 14:01","0","0","1"
"ST. JOHNS","ST AUGUSTINE HEALTH AND REHABILITATION CENTER","NH","6/8/2020 12:43","0","0","1"
"ST. LUCIE","AURORA OF THE TREASURE COAST","ALF","6/8/2020 13:41","0","0","1"
"ST. LUCIE","EMERALD HEALTH CARE CENTER","NH","6/8/2020 10:45","1","0","1"
"ST. LUCIE","PALM GARDEN OF PORT ST. LUCIE","NH","6/8/2020 13:29","1","2","1"
"ST. LUCIE","PORT ST. LUCIE REHABILITATION AND HEALTHCARE","NH","6/8/2020 12:15","0","0","1"
"ST. LUCIE","THE BROADMOOR ALF","ALF","6/7/2020 12:42","1","11","6"
"ST. LUCIE","WATERCREST OF ST LUCIE WEST ASSISTED LIVING AND MEMORY CARE","ALF","6/8/2020 14:22","2","2","1"
"SUMTER","BROOKDALE PLACE AT FREEDOM POINTE","ALF","6/8/2020 14:41","0","0","1"
"SUMTER","BUFFALO CROSSING HEALTHCARE AND REHABILITATION CENTER","NH","6/8/2020 13:18","0","1","7"
"SUMTER","TRINITY SPRINGS","ALF","6/8/2020 13:54","1","0","0"
"SUWANNEE","SUWANNEE HEALTH AND REHABILITATION CENTER","NH","6/8/2020 14:11","8","33","1"
"VOLUSIA","ALLIANCE HEALTH AND REHABILITATION CENTER","NH","6/8/2020 13:06","0","0","1"
"VOLUSIA","AVANTE AT ORMOND BEACH, INC","NH","6/8/2020 12:22","0","0","3"
"VOLUSIA","BISHOP'S GLEN RETIREMENT CENTER","ALF","6/5/2020 15:36","12","0","6"
"VOLUSIA","BROOKDALE ORMOND BEACH WEST","ALF","6/8/2020 13:57","0","1","3"
"VOLUSIA","CERTUS OC OPCO, LLC","ALF","6/6/2020 12:00","0","0","1"
"VOLUSIA","CLOISTERS OF DELAND, THE","ALF","6/8/2020 14:09","0","0","1"
"VOLUSIA","COASTAL HEALTH AND REHABILITATION CENTER","NH","6/8/2020 13:37","1","0","0"
"VOLUSIA","COQUINA CENTER","NH","6/8/2020 14:07","0","41","14"
"VOLUSIA","DEBARY HEALTH AND REHABILITATION CENTER","NH","6/8/2020 13:49","0","0","3"
"VOLUSIA","DELTONA HEALTH CARE","NH","6/8/2020 13:26","0","2","0"
"VOLUSIA","EMORY L BENNETT MEMORIAL VETERANS NURSING HOME","NH","6/8/2020 12:07","0","0","2"
"VOLUSIA","INDIGO MANOR","NH","6/8/2020 13:56","0","1","4"
"VOLUSIA","ORANGE CITY NURSING AND REHAB CENTER","NH","6/8/2020 14:55","2","0","1"
"VOLUSIA","ORMOND IN THE PINES","ALF","6/8/2020 16:16","0","0","1"
"VOLUSIA","WOODLAND TOWERS","ALF","6/8/2020 17:29","1","0","1"
"WAKULLA","EDEN SPRINGS NURSING AND REHAB CENTER","NH","6/8/2020 12:56","1","0","5"
"WALTON","CHAUTAUQUA REHABILITATION AND NURSING CENTER","NH","6/8/2020 11:51","30","0","30"
"WASHINGTON","WASHINGTON REHABILITATION AND NURSING CENTER","NH","6/8/2020 15:27","40","1","19"
